gender,marital_status,region,highest_education,school,employment_status,loan_purpose,repayment_status,repayment_info_source,repayment_method,repayment_method_convenience,effectiveness_repayment_method,collection_strategy_effectiveness,interaction_quality_on_repayment,overall_experience_with_loan_process,over_under_milion,discipline
female,single,southern,bachelor,luanar,self_employed,tuition,partially_paid,email_inperson,voluntary_monthly,convenient,effective,effective,positive,satisfied,over,design
male,married,central,bachelor,luanar,fulltime,tuition_living,partially_paid,inperson,monthly_salary,convenient,effective,effective,positive,satisfied,over,natural resourses
male,married,northern,bachelor,mzuni,fulltime,tuition_living,fully_paid,phone,monthly_salary,very_convenient,very_effective,very_effective,very_positive,very satisfied,under,stem
female,married,southern,bachelor,mancosa,fulltime,tuition_living,not_paid,none,none,convenient,neutral,ineffective,neutral,neutral,over,commerce
male,married,central,master,chanco,fulltime,tuition_stationery,fully_paid,letter,oneoff,neutral,neutral,effective,positive,satisfied,under,stem
female,married,southern,bachelor,mzuni,fulltime,tuition_stationery,fully_paid,email,oneoff,convenient,effective,neutral,very_positive,satisfied,under,stem
female,single,southern,master,mzuni,fulltime,tuition,fully_paid,none,oneoff,convenient,effective,effective,positive,very dissatisfied,under,stem
male,married,central,bachelor,poly,fulltime,tuition,not_paid,phone,monthly_salary,very_convenient,effective,effective,very_positive,satisfied,under,stem
male,single,southern,bachelor,chanco,fulltime,tuition_living,partially_paid,email,monthly_salary,convenient,effective,effective,neutral,neutral,under,stem
female,divorced,central,master,chanco,fulltime,tuition_living,partially_paid,inperson,voluntary_monthly,neutral,effective,effective,positive,neutral,over,stem
male,married,central,master,mzuni,fulltime,tuition_living,fully_paid,inperson,voluntary_monthly,neutral,neutral,neutral,positive,neutral,under,stem
male,widowed,northern,doctorate,chanco,fulltime,tuition_living,fully_paid,inperson,voluntary_monthly,neutral,effective,neutral,positive,neutral,over,stem
male,single,southern,bachelor,mzuni,fulltime,tuition,partially_paid,employer,voluntary_monthly,neutral,neutral,neutral,neutral,neutral,over,stem
male,married,northern,bachelor,mzuni,fulltime,tuition_living,fully_paid,inperson,voluntary_monthly,neutral,neutral,effective,neutral,satisfied,under,stem
female,married,central,bachelor,chanco,fulltime,living,not_paid,email,none,neutral,neutral,neutral,neutral,neutral,under,stem
male,married,northern,doctorate,chanco,fulltime,tuition_living,fully_paid,inperson,monthly_salary,neutral,neutral,neutral,positive,satisfied,under,stem
female,married,central,bachelor,mzuni,fulltime,tuition_living,partially_paid,inperson,voluntary_monthly,neutral,neutral,effective,neutral,satisfied,under,stem
female,married,central,bachelor,mzuni,fulltime,tuition_living,partially_paid,inperson,voluntary_monthly,neutral,neutral,effective,positive,neutral,under,stem
female,married,northern,bachelor,chanco,fulltime,tuition_living,partially_paid,email_inperson,monthly_salary,convenient,effective,effective,positive,satisfied,under,stem
male,married,southern,doctorate,poly,fulltime,tuition_living,fully_paid,inperson,monthly_salary,very_convenient,very_effective,effective,very_positive,very satisfied,under,stem
male,single,northern,bachelor,chanco,fulltime,living,not_paid,email,monthly_salary,convenient,effective,neutral,positive,satisfied,under,stem
female,divorced,northern,master,chanco,parttime,living,fully_paid,inperson,voluntary_monthly,convenient,effective,effective,positive,satisfied,under,stem
female,widowed,northern,doctorate,com,self_employed,living,fully_paid,inperson,voluntary_monthly,convenient,effective,neutral,positive,satisfied,over,stem
male,married,northern,doctorate,chanco,parttime,living,fully_paid,inperson,voluntary_monthly,neutral,effective,effective,positive,satisfied,under,stem
male,divorced,northern,doctorate,chanco,fulltime,living,fully_paid,phone,monthly_salary,neutral,effective,effective,positive,satisfied,under,stem
female,widowed,northern,doctorate,chanco,parttime,living,fully_paid,inperson,oneoff,convenient,effective,effective,positive,satisfied,under,stem
female,widowed,northern,doctorate,chanco,fulltime,living,fully_paid,phone,monthly_salary,convenient,effective,effective,positive,satisfied,over,stem
female,married,northern,doctorate,chanco,parttime,living_stationery,fully_paid,email,monthly_salary,neutral,effective,effective,positive,satisfied,over,stem
male,single,southern,bachelor,mzuni,fulltime,tuition_living,not_paid,email_inperson,none,convenient,effective,effective,positive,satisfied,over,stem
male,widowed,central,doctorate,chanco,fulltime,tuition_living,fully_paid,inperson,monthly_salary,convenient,effective,effective,positive,satisfied,under,stem
male,single,northern,bachelor,chanco,fulltime,tuition_living,not_paid,inperson,none,inconvenient,ineffective,neutral,neutral,dissatisfied,over,stem
male,single,southern,bachelor,mzuni,parttime,tuition_living,not_paid,inperson,none,inconvenient,ineffective,neutral,neutral,neutral,over,stem
female,widowed,northern,doctorate,chanco,fulltime,tuition_living,fully_paid,inperson,monthly_salary,convenient,neutral,neutral,neutral,satisfied,under,stem
male,married,southern,master,chanco,fulltime,tuition_living,fully_paid,inperson,voluntary_monthly,convenient,effective,effective,positive,satisfied,under,stem
